datetime,date,userID,locationID,buildingID,chargingLen,originLocationID,originChargingHour,incentive,score
2018-07-02 06:00:00,0702,607795,50911,13,1.0,50911,6,0,-1.0
2018-07-02 12:00:00,0702,604799H,51200,15,2.0,51198,10,10,0.7812113727081689
2018-07-02 08:00:00,0702,604900H,50266,10,2.0,50266,13,10,0.3525989175993376
2018-07-02 12:00:00,0702,604734H,50841,2,3.0,50268,10,4,0.5632329517160646
2018-07-02 13:00:00,0702,604727H,50261,9,1.0,50261,13,0,-1.0
2018-07-02 20:00:00,0702,604761H,50349,7,2.0,50349,13,0,-1.0
2018-07-02 16:00:00,0702,603906,50230,0,1.0,50841,21,9,0.2244328236438987
2018-07-02 18:00:00,0702,604832H,50909,8,1.0,50267,21,9,0.3634672456682491
2018-07-02 12:00:00,0702,604773H,50841,2,1.0,50841,21,0,0.5106184164236658
2018-07-02 19:00:00,0702,605235,50911,13,2.0,50911,19,0,-1.0
2018-07-02 08:00:00,0702,604760H,50268,19,1.0,50240,19,0,0.3605424658081344
2018-07-02 20:00:00,0702,603522H,50911,13,1.0,50911,19,0,-1.0
2018-07-02 08:00:00,0702,606523,50840,6,2.0,50911,18,9,0.373843554036949
2018-07-02 18:00:00,0702,518475,51199,1,1.0,50911,17,10,0.4350019044148233
2018-07-02 12:00:00,0702,603680,51200,15,2.0,50349,17,2,0.4323928739432034
2018-07-02 18:00:00,0702,604800H,50230,0,2.0,50911,16,1,0.4267163671006992
2018-07-02 19:00:00,0702,520263,50909,8,1.0,50909,19,0,-1.0
2018-07-02 15:00:00,0702,604739H,51199,1,1.0,51199,15,0,-1.0
2018-07-02 16:00:00,0702,604726H,51200,15,2.0,51200,16,0,-1.0
2018-07-02 18:00:00,0702,604902H,50268,19,2.0,50261,16,0,0.4436255973997297
2018-07-02 15:00:00,0702,604728H,51198,5,2.0,51198,15,0,-1.0
2018-07-02 12:00:00,0702,604802H,50268,19,1.0,50269,15,0,0.5092951749386899
2018-07-02 18:00:00,0702,604752H,50263,11,1.0,51199,15,9,0.463781835999962
2018-07-02 18:00:00,0702,607855,50841,2,3.0,50911,15,0,0.5053852673315606
2018-07-02 19:00:00,0702,604895H,51199,1,2.0,50338,15,5,0.3852729631937021
2018-07-02 01:00:00,0702,606260,50240,17,2.0,50909,14,5,0.0178798994218223
2018-07-02 18:00:00,0702,606260,50269,12,1.0,50911,13,10,0.4589297031004534
2018-07-02 18:00:00,0702,603548,50675,18,2.0,50911,16,4,0.4603186029394332
2018-07-02 18:00:00,0702,604806H,50261,9,1.0,50338,13,1,0.4636963178758512
2018-07-02 18:00:00,0702,518475,51199,1,2.0,50911,16,0,0.4403490935194564
2018-07-02 19:00:00,0702,605432,50263,11,3.0,50692,17,10,0.406876973101251
2018-07-02 21:00:00,0702,604771H,50240,17,2.0,50240,14,10,0.0682263217090512
2018-07-02 07:00:00,0702,520263,50349,7,2.0,50909,17,10,0.187006226164054
2018-07-02 15:00:00,0702,604775H,50263,11,2.0,50263,15,0,-1.0
2018-07-02 19:00:00,0702,520263,50240,17,2.0,50909,15,9,0.403378051637658
2018-07-02 19:00:00,0702,607938,50266,10,2.0,50911,14,0,0.4650086427565458
2018-07-02 18:00:00,0702,607856,51200,15,3.0,50349,15,0,0.4394280899057491
2018-07-02 21:00:00,0702,604329,50911,13,3.0,50911,15,0,-1.0
2018-07-02 08:00:00,0702,604745H,50240,17,2.0,51198,15,9,0.3641819242392208
2018-07-02 20:00:00,0702,601555,51198,5,2.0,51087,18,9,0.3288277907737547
2018-07-02 19:00:00,0702,601535,50338,16,3.0,50692,15,0,0.4991526340079006
2018-07-02 18:00:00,0702,601555,50338,16,3.0,51087,18,0,0.4519979917567948
2018-07-02 08:00:00,0702,601535,50909,8,1.0,50692,22,6,0.4146077367788219
2018-07-02 08:00:00,0702,601555,50841,2,2.0,50911,18,0,0.4959008253172954
2018-07-02 21:00:00,0702,604380H,50911,13,2.0,50911,19,0,-1.0
2018-07-02 20:00:00,0702,519392,50349,7,2.0,50349,19,0,-1.0
2018-07-02 21:00:00,0702,603912,50692,3,3.0,50692,20,0,-1.0
2018-07-02 21:00:00,0702,605083H,50911,13,2.0,50911,20,0,-1.0
2018-07-02 20:00:00,0702,604732H,50269,12,2.0,50269,20,0,-1.0
2018-07-02 21:00:00,0702,603906,50841,2,2.0,50841,21,0,-1.0
2018-07-02 22:00:00,0702,604832H,51087,4,1.0,50267,21,6,0.0715139815953577
2018-07-02 19:00:00,0702,607263,50269,12,2.0,50911,21,0,0.4519807327844563
2018-07-02 19:00:00,0702,604903H,50261,9,1.0,50266,21,0,0.550828270337455
2018-07-02 20:00:00,0702,604735H,50230,0,3.0,50268,23,0,0.4627052782673673
2018-07-02 05:00:00,0702,604802H,50349,7,2.0,50269,13,6,0.0467908672246791
2018-07-02 00:00:00,0702,601555,51087,4,3.0,51087,18,0,-1.0
2018-07-02 18:00:00,0702,607083,50268,19,3.0,50911,13,0,0.2715535722518294
2018-07-02 20:00:00,0702,601555,50267,14,2.0,51087,18,3,0.4142206558853016
2018-07-02 13:00:00,0702,603902,50338,16,2.0,50338,13,0,-1.0
2018-07-02 05:00:00,0702,605931,50911,13,3.0,50911,5,0,-1.0
