requestID,userID,datetime,locationID,chargingLen,score,incentive,originLocationID,originHour,personal,willingness,cp_value,threshold
11176,604771H,2018-07-04 12:00:00,50268,2.0,0.576932051064091,1,50240,16,0.8452625151947782,0.8752193574809236,2.884660255320455,0.3317193604461915
11193,607670,2018-07-04 00:00:00,50911,2.0,-1.0,0,50911,15,0.0,0.0,0.0,0.0
11135,605432,2018-07-04 12:00:00,50338,3.0,0.5082289165174149,2,50692,20,0.17902347822166148,0.2644478155369336,1.6940963883913829,0.013264956023542255
11150,605079H,2018-07-04 22:00:00,50692,2.0,-1.0,0,50692,18,0.0,0.0,0.0,0.0
11148,600963,2018-07-04 12:00:00,50269,2.0,0.5206130292845605,2,50911,18,0.10770356099769586,0.16597644558668076,1.7353767642818685,0.013535636030691946
11147,519392,2018-07-04 12:00:00,50909,1.0,0.5888542409411447,2,50675,18,0.41723398335557993,0.541370554798456,1.9628474698038156,0.15647110329042593
11146,601555,2018-07-04 21:00:00,51087,3.0,-1.0,0,51087,19,0.0,0.0,0.0,0.0
11142,604752H,2018-07-04 19:00:00,51200,2.0,-1.0,0,51200,19,0.0,0.0,0.0,0.0
11134,604800H,2018-07-04 00:00:00,50911,2.0,-1.0,0,50911,20,0.0,0.0,0.0,0.0
11132,604900H,2018-07-04 21:00:00,50266,2.0,-1.0,0,50266,21,0.0,0.0,0.0,0.0
11130,601535,2018-07-04 00:00:00,50692,3.0,-1.0,0,50692,21,0.0,0.0,0.0,0.0
11129,603906,2018-07-04 12:00:00,50841,1.0,0.7158678814841319,1,50841,21,1.0,0.9947798743064417,3.5793394074206595,0.34715716922399986
11125,604903H,2018-07-04 21:00:00,50266,1.0,-1.0,0,50266,21,0.0,0.0,0.0,0.0
11118,604734H,2018-07-04 12:00:00,50349,2.0,0.576935871908687,1,50268,23,0.27684528893535726,0.32956252416773174,2.884679359543435,0.027485566118532548
11153,604895H,2018-07-04 13:00:00,50840,1.0,0.5466873862919703,10,50267,17,0.0,0.07585818002124355,0.49698853299270024,0.007304942311869019
11195,604802H,2018-07-04 13:00:00,50261,2.0,0.5636168887987321,2,50269,15,0.6204672628409889,0.7293904122243329,1.8787229626624402,0.026472026929602793
11254,519287,2018-07-04 00:00:00,50911,2.0,-1.0,0,50911,12,0.0,0.0,0.0,0.0
11198,604897H,2018-07-04 15:00:00,51199,2.0,-1.0,0,51199,15,0.0,0.0,0.0,0.0
11197,604804H,2018-07-04 13:00:00,50240,1.0,0.6070865842322036,10,50230,15,0.6166862243695892,0.9514552421999095,0.5518968947565487,-0.0016003680614711802
11308,605931,2018-07-04 05:00:00,50349,3.0,-1.0,0,50349,5,0.0,0.0,0.0,0.0
11303,606789,2018-07-04 13:00:00,50841,2.0,0.527026803055394,1,50909,6,0.13621225052148306,0.16838553570458234,2.6351340152769698,-0.0573047153342582
11294,604895H,2018-07-04 12:00:00,50349,2.0,0.4121312742651068,1,50267,8,0.15041476095168294,0.18522333602742913,2.060656371325534,-0.036727745261550475
11288,603904,2018-07-04 00:00:00,50911,3.0,-1.0,0,50911,8,0.0,0.0,0.0,0.0
11281,605079H,2018-07-04 12:00:00,51200,1.0,0.40471977292063416,3,50692,9,0.1466537405492409,0.26676637605968534,1.0117994323015853,-0.05338001519884213
11278,604799H,2018-07-04 14:00:00,51198,3.0,-1.0,0,51198,10,0.0,0.0,0.0,0.0
11275,604728H,2018-07-04 10:00:00,51200,1.0,-1.0,0,51200,10,0.0,0.0,0.0,0.0
11274,604726H,2018-07-04 09:00:00,51200,2.0,0.466695304541343,1,51199,10,1.0,0.9947798743064417,2.333476522706715,-0.06190677470983667
11267,603902,2018-07-04 14:00:00,50840,2.0,0.4119793680749118,6,50269,11,0.0,0.02931223075135632,0.5885419543927312,-0.027827096619955343
11259,604760H,2018-07-04 11:00:00,50240,1.0,-1.0,0,50240,11,0.0,0.0,0.0,0.0
11311,607289,2018-07-04 14:00:00,50269,2.0,0.38371232788928816,2,50269,3,0.21580382442571225,0.3121065247922466,1.279041092964294,-0.12246152894403908
11257,604895H,2018-07-04 14:00:00,50692,1.0,0.42132081485251727,7,50267,12,0.13728817040222116,0.4780145436596552,0.5266510185656466,-0.008619914445440325
11252,604728H,2018-07-04 14:00:00,51200,2.0,0.5123516959000104,1,51198,12,0.7643064111094418,0.8063454209759203,2.561758479500052,-0.042519863602078024
11251,604730H,2018-07-04 15:00:00,50263,2.0,-1.0,0,50263,12,0.0,0.0,0.0,0.0
11250,604902H,2018-07-04 12:00:00,50261,2.0,-1.0,0,50261,12,0.0,0.0,0.0,0.0
11242,604903H,2018-07-04 14:00:00,50267,2.0,0.5417968829575548,2,50266,13,0.7133231253489127,0.8040148423875283,1.805989609858516,-0.030882930563093717
11237,604761H,2018-07-04 14:00:00,50349,1.0,0.5121017252209159,1,50349,13,0.45028684550743375,0.5126193718011205,2.5605086261045793,-0.005139569630950266
11233,604832H,2018-07-04 14:00:00,50230,1.0,0.5240247980067928,2,50267,13,0.24976957784178813,0.35437993753999075,1.7467493266893095,-0.03692086876823973
11230,605084H,2018-07-04 14:00:00,50268,2.0,0.4874055992280406,1,50911,13,0.11748040166163022,0.14597694757124138,2.437027996140203,-0.16174354528493623
11227,604758H,2018-07-04 15:00:00,50675,1.0,0.430749908794635,10,50263,13,0.45237514548085134,0.9096132088658003,0.39159082617694085,-0.022940368245160794
11199,604897H,2018-07-04 15:00:00,51199,2.0,-1.0,0,51199,15,0.0,0.0,0.0,0.0
11225,604745H,2018-07-04 10:00:00,50349,2.0,0.4243951956235892,1,51200,13,0.9003507915232025,0.9206439258799488,2.1219759781179457,-0.05108633253565686
11258,604745H,2018-07-04 12:00:00,51200,3.0,-1.0,0,51200,12,0.0,0.0,0.0,0.0
