,datetime,buildingID,consumption,generation
143,2018-07-06 23:00:00,0,145.8016,0.0
144,2018-07-07 00:00:00,0,124.3817,0.0
145,2018-07-07 01:00:00,0,121.722275,0.013656123
146,2018-07-07 02:00:00,0,116.850586,0.0
147,2018-07-07 03:00:00,0,126.9819,0.012151331
148,2018-07-07 04:00:00,0,128.71158,0.009253053
149,2018-07-07 05:00:00,0,140.37218,0.0
150,2018-07-07 06:00:00,0,188.86032,0.015112033
151,2018-07-07 07:00:00,0,197.31763,0.06339399
152,2018-07-07 08:00:00,0,197.05447,0.010909053
153,2018-07-07 09:00:00,0,206.62851,0.25786346
154,2018-07-07 10:00:00,0,207.12265,0.94093597
155,2018-07-07 11:00:00,0,214.53775,1.6130706
156,2018-07-07 12:00:00,0,206.628,2.178998
157,2018-07-07 13:00:00,0,208.20038,2.4967055
158,2018-07-07 14:00:00,0,206.11024,2.8814483
159,2018-07-07 15:00:00,0,213.2841,2.892307
160,2018-07-07 16:00:00,0,209.03825,2.7956095
161,2018-07-07 17:00:00,0,208.06,2.2975297
162,2018-07-07 18:00:00,0,208.88669,1.6552856
163,2018-07-07 19:00:00,0,206.89604,1.0295345
164,2018-07-07 20:00:00,0,197.7948,0.417419
165,2018-07-07 21:00:00,0,192.65627,0.041496024
166,2018-07-07 22:00:00,0,176.33005,0.0
167,2018-07-07 23:00:00,0,145.8016,0.0
168,2018-07-01 00:00:00,1,173.67938,0.0
169,2018-07-01 01:00:00,1,179.03093,0.057880007
170,2018-07-01 02:00:00,1,175.00897,0.048759118
171,2018-07-01 03:00:00,1,177.38719,0.0
172,2018-07-01 04:00:00,1,174.65181,0.0
173,2018-07-01 05:00:00,1,175.85745,0.0
174,2018-07-01 06:00:00,1,175.11398,0.06849013
175,2018-07-01 07:00:00,1,178.59366,0.16997074
176,2018-07-01 08:00:00,1,177.99901,0.6046996
177,2018-07-01 09:00:00,1,183.77325,1.8721838
178,2018-07-01 10:00:00,1,181.74896,3.3345082
179,2018-07-01 11:00:00,1,185.13937,4.842767
180,2018-07-01 12:00:00,1,182.67592,6.0161233
181,2018-07-01 13:00:00,1,178.69969,6.607951
182,2018-07-01 14:00:00,1,171.68109,6.858533
183,2018-07-01 15:00:00,1,171.0649,6.5345984
184,2018-07-01 16:00:00,1,165.0697,5.574135
185,2018-07-01 17:00:00,1,121.30665,3.901128
186,2018-07-01 18:00:00,1,105.649284,2.2046378
187,2018-07-01 19:00:00,1,101.449,1.2252679
188,2018-07-01 20:00:00,1,103.75594,0.45881385
189,2018-07-01 21:00:00,1,109.864655,0.049256127
190,2018-07-01 22:00:00,1,113.23753,0.058409184
191,2018-07-01 23:00:00,1,128.93675,0.0
192,2018-07-02 00:00:00,1,173.67938,0.0
193,2018-07-02 01:00:00,1,179.03093,0.064752944
194,2018-07-02 02:00:00,1,175.00897,0.03109377
195,2018-07-02 03:00:00,1,177.38719,0.0
196,2018-07-02 04:00:00,1,174.65181,0.0
197,2018-07-02 05:00:00,1,175.85745,0.0
198,2018-07-02 06:00:00,1,175.11398,0.069200106
199,2018-07-02 07:00:00,1,178.59366,0.16599254
200,2018-07-02 08:00:00,1,177.99901,0.6184802
201,2018-07-02 09:00:00,1,183.77325,1.752214
202,2018-07-02 10:00:00,1,181.74896,3.1592894
203,2018-07-02 11:00:00,1,185.13937,4.458837
204,2018-07-02 12:00:00,1,182.67592,5.4990087
205,2018-07-02 13:00:00,1,178.69969,6.025002
206,2018-07-02 14:00:00,1,171.68109,6.1484613
207,2018-07-02 15:00:00,1,171.0649,5.860699
208,2018-07-02 16:00:00,1,165.0697,5.0614166
209,2018-07-02 17:00:00,1,121.30665,3.544503
210,2018-07-02 18:00:00,1,105.649284,2.0032697
211,2018-07-02 19:00:00,1,101.449,1.0947905
212,2018-07-02 20:00:00,1,103.75594,0.41044435
213,2018-07-02 21:00:00,1,109.864655,0.040424507
214,2018-07-02 22:00:00,1,113.23753,0.06286947
215,2018-07-02 23:00:00,1,128.93675,0.0
216,2018-07-03 00:00:00,1,173.67938,0.0
217,2018-07-03 01:00:00,1,179.03093,0.057389043
218,2018-07-03 02:00:00,1,175.00897,0.051176764
219,2018-07-03 03:00:00,1,177.38719,0.0
220,2018-07-03 04:00:00,1,174.65181,0.0
221,2018-07-03 05:00:00,1,175.85745,0.0
222,2018-07-03 06:00:00,1,175.11398,0.06835813
223,2018-07-03 07:00:00,1,178.59366,0.16997042
224,2018-07-03 08:00:00,1,177.99901,0.60301286
225,2018-07-03 09:00:00,1,183.77325,1.8809798
226,2018-07-03 10:00:00,1,181.74896,3.3504884
227,2018-07-03 11:00:00,1,185.13937,4.8794966
228,2018-07-03 12:00:00,1,182.67592,6.0647516
229,2018-07-03 13:00:00,1,178.69969,6.659291
230,2018-07-03 14:00:00,1,171.68109,6.92736
231,2018-07-03 15:00:00,1,171.0649,6.6019044
232,2018-07-03 16:00:00,1,165.0697,5.6322517
233,2018-07-03 17:00:00,1,121.30665,3.944482
234,2018-07-03 18:00:00,1,105.649284,2.2271202
235,2018-07-03 19:00:00,1,101.449,1.2374346
236,2018-07-03 20:00:00,1,103.75594,0.4647948
237,2018-07-03 21:00:00,1,109.864655,0.049961668
238,2018-07-03 22:00:00,1,113.23753,0.058923185
239,2018-07-03 23:00:00,1,128.93675,0.0
240,2018-07-04 00:00:00,1,173.67938,0.0
241,2018-07-04 01:00:00,1,179.03093,0.054991826
242,2018-07-04 02:00:00,1,175.00897,0.0578421
243,2018-07-04 03:00:00,1,177.38719,0.0
244,2018-07-04 04:00:00,1,174.65181,0.0
245,2018-07-04 05:00:00,1,175.85745,0.0
246,2018-07-04 06:00:00,1,175.11398,0.06667863
247,2018-07-04 07:00:00,1,178.59366,0.16994698
248,2018-07-04 08:00:00,1,177.99901,0.6011697
249,2018-07-04 09:00:00,1,183.77325,1.9370947
250,2018-07-04 10:00:00,1,181.74896,3.4412124
251,2018-07-04 11:00:00,1,185.13937,5.059921
252,2018-07-04 12:00:00,1,182.67592,6.2948446
253,2018-07-04 13:00:00,1,178.69969,6.9080324
254,2018-07-04 14:00:00,1,171.68109,7.2461762
255,2018-07-04 15:00:00,1,171.0649,6.9174066
256,2018-07-04 16:00:00,1,165.0697,5.879739
257,2018-07-04 17:00:00,1,121.30665,4.1224046
258,2018-07-04 18:00:00,1,105.649284,2.3235466
259,2018-07-04 19:00:00,1,101.449,1.2970556
260,2018-07-04 20:00:00,1,103.75594,0.50036883
261,2018-07-04 21:00:00,1,109.864655,0.050632726
262,2018-07-04 22:00:00,1,113.23753,0.05821421
263,2018-07-04 23:00:00,1,128.93675,0.0
264,2018-07-05 00:00:00,1,173.67938,0.0
265,2018-07-05 01:00:00,1,179.03093,0.06228272
266,2018-07-05 02:00:00,1,175.00897,0.039425984
267,2018-07-05 03:00:00,1,177.38719,0.0
268,2018-07-05 04:00:00,1,174.65181,0.0
269,2018-07-05 05:00:00,1,175.85745,0.0
270,2018-07-05 06:00:00,1,175.11398,0.068928696
271,2018-07-05 07:00:00,1,178.59366,0.17027506
272,2018-07-05 08:00:00,1,177.99901,0.6123228
273,2018-07-05 09:00:00,1,183.77325,1.8190734
274,2018-07-05 10:00:00,1,181.74896,3.2512276
275,2018-07-05 11:00:00,1,185.13937,4.662783
276,2018-07-05 12:00:00,1,182.67592,5.776803
277,2018-07-05 13:00:00,1,178.69969,6.3427625
278,2018-07-05 14:00:00,1,171.68109,6.522064
279,2018-07-05 15:00:00,1,171.0649,6.2084217
280,2018-07-05 16:00:00,1,165.0697,5.31782
281,2018-07-05 17:00:00,1,121.30665,3.7190502
282,2018-07-05 18:00:00,1,105.649284,2.1030314
283,2018-07-05 19:00:00,1,101.449,1.1636865
284,2018-07-05 20:00:00,1,103.75594,0.4317032
285,2018-07-05 21:00:00,1,109.864655,0.04623745
286,2018-07-05 22:00:00,1,113.23753,0.0594868
287,2018-07-05 23:00:00,1,128.93675,0.0
288,2018-07-06 00:00:00,1,173.67938,0.0
289,2018-07-06 01:00:00,1,179.03093,0.061251417
290,2018-07-06 02:00:00,1,175.00897,0.030195853
291,2018-07-06 03:00:00,1,177.38719,0.0
292,2018-07-06 04:00:00,1,174.65181,0.0
293,2018-07-06 05:00:00,1,175.85745,0.0
294,2018-07-06 06:00:00,1,175.11398,0.07333568
295,2018-07-06 07:00:00,1,178.59366,0.15927972
296,2018-07-06 08:00:00,1,177.99901,0.61789066
297,2018-07-06 09:00:00,1,183.77325,1.7109013
298,2018-07-06 10:00:00,1,181.74896,3.1257155
299,2018-07-06 11:00:00,1,185.13937,4.3862967
300,2018-07-06 12:00:00,1,182.67592,5.380148
301,2018-07-06 13:00:00,1,178.69969,5.8929434
302,2018-07-06 14:00:00,1,171.68109,6.0303707
303,2018-07-06 15:00:00,1,171.0649,5.7646976
304,2018-07-06 16:00:00,1,165.0697,5.0383997
305,2018-07-06 17:00:00,1,121.30665,3.5367777
306,2018-07-06 18:00:00,1,105.649284,1.9951093
307,2018-07-06 19:00:00,1,101.449,1.0717809
308,2018-07-06 20:00:00,1,103.75594,0.41659206
309,2018-07-06 21:00:00,1,109.864655,0.033762913
310,2018-07-06 22:00:00,1,113.23753,0.06725439
311,2018-07-06 23:00:00,1,128.93675,0.0
312,2018-07-07 00:00:00,1,173.67943,0.0063777864
313,2018-07-07 01:00:00,1,179.03087,0.06045398
314,2018-07-07 02:00:00,1,175.00893,0.007224193
315,2018-07-07 03:00:00,1,177.38716,0.0
316,2018-07-07 04:00:00,1,174.6518,0.0
317,2018-07-07 05:00:00,1,175.85745,0.0
318,2018-07-07 06:00:00,1,175.11398,0.0872648
319,2018-07-07 07:00:00,1,178.59367,0.14883736
320,2018-07-07 08:00:00,1,177.99898,0.62176585
321,2018-07-07 09:00:00,1,183.77315,1.5859199
322,2018-07-07 10:00:00,1,181.749,2.9626784
323,2018-07-07 11:00:00,1,185.13928,4.0916643
324,2018-07-07 12:00:00,1,182.67592,4.8954635
325,2018-07-07 13:00:00,1,178.69965,5.3308854
326,2018-07-07 14:00:00,1,171.68112,5.5014887
327,2018-07-07 15:00:00,1,171.06485,5.328895
