80%, 8, 2
80%, 7, 2
80%, 6, 2
80%, 5, 2
80%, 4, 2
80%, 3, 2
80%, 2, 2
80%, 1, 2
80%, 0, 2
80%, 1, 2
80%, 2, 2
80%, 3, 2
80%, 4, 2
80%, 5, 2
80%, 6, 2
80%, 7, 2
80%, 8, 2
80%, 9, 2
80%, 10, 2
80%, 11, 2
80%, 12, 2
80%, 13, 2
60%, 6, 1
60%, 7, 1
60%, 8, 1
60%, 9, 1
60%, 10, 1
60%, 11, 1
60%, 12, 1
60%, 11, 1
60%, 10, 1
60%, 9, 1
60%, 8, 1
60%, 7, 1
60%, 6, 1
60%, 5, 1
60%, 4, 1
60%, 3, 1
